data path:
['data/XJTU data\\R2.5_battery-1.csv', 'data/XJTU data\\R2.5_battery-2.csv', 'data/XJTU data\\R2.5_battery-3.csv', 'data/XJTU data\\R2.5_battery-5.csv', 'data/XJTU data\\R2.5_battery-6.csv', 'data/XJTU data\\R2.5_battery-7.csv']
data path:
['data/XJTU data\\R2.5_battery-4.csv', 'data/XJTU data\\R2.5_battery-8.csv']
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.171531
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:001, data loss:0.589797
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.029653
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:002, data loss:0.390390
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.017870
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:003, data loss:0.208673
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.011043
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:004, data loss:0.084449
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.011050
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:005, data loss:0.042406
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.008316
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:006, data loss:0.019500
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.006473
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:007, data loss:0.010705
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.006794
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:008, data loss:0.004687
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.004323
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:009, data loss:0.004031
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.003213
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:010, data loss:0.003328
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.002279
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:011, data loss:0.001683
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.001956
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:012, data loss:0.002273
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.001560
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:013, data loss:0.001439
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.001736
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:014, data loss:0.002179
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.002056
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:015, data loss:0.001822
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.003367
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:016, data loss:0.001650
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.002888
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:017, data loss:0.001626
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.002269
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:018, data loss:0.001903
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.002019
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:019, data loss:0.002001
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.001876
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:020, data loss:0.001132
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.001433
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:021, data loss:0.001445
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.001774
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:022, data loss:0.002418
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.004731
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:023, data loss:0.001288
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.005232
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:024, data loss:0.002358
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.003620
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:025, data loss:0.004754
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:026, data loss:0.004290
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:026, data loss:0.001132
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:027, data loss:0.001891
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:027, data loss:0.004059
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:028, data loss:0.002918
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:028, data loss:0.000839
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:029, data loss:0.003632
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:029, data loss:0.001308
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:030, data loss:0.001122
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:030, data loss:0.001194
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:031, data loss:0.001560
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:031, data loss:0.001332
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:032, data loss:0.001149
