data path:
['data/XJTU data\\R2.5_battery-1.csv', 'data/XJTU data\\R2.5_battery-2.csv', 'data/XJTU data\\R2.5_battery-3.csv', 'data/XJTU data\\R2.5_battery-5.csv', 'data/XJTU data\\R2.5_battery-6.csv', 'data/XJTU data\\R2.5_battery-7.csv']
data path:
['data/XJTU data\\R2.5_battery-4.csv', 'data/XJTU data\\R2.5_battery-8.csv']
2023-12-15 22:13 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.332013
2023-12-15 22:13 - function:valid - INFO - [Valid] epoch:001, data loss:1.038008
2023-12-15 22:13 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.037972
2023-12-15 22:13 - function:valid - INFO - [Valid] epoch:002, data loss:0.915255
2023-12-15 22:13 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.019019
2023-12-15 22:13 - function:valid - INFO - [Valid] epoch:003, data loss:0.546815
2023-12-15 22:13 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.010086
2023-12-15 22:13 - function:valid - INFO - [Valid] epoch:004, data loss:0.234932
2023-12-15 22:13 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.008159
2023-12-15 22:13 - function:valid - INFO - [Valid] epoch:005, data loss:0.068281
2023-12-15 22:13 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.005088
2023-12-15 22:13 - function:valid - INFO - [Valid] epoch:006, data loss:0.025688
2023-12-15 22:13 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.004340
2023-12-15 22:13 - function:valid - INFO - [Valid] epoch:007, data loss:0.008794
2023-12-15 22:13 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.002777
2023-12-15 22:13 - function:valid - INFO - [Valid] epoch:008, data loss:0.004638
2023-12-15 22:13 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.002296
2023-12-15 22:13 - function:valid - INFO - [Valid] epoch:009, data loss:0.003717
2023-12-15 22:13 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.002793
2023-12-15 22:13 - function:valid - INFO - [Valid] epoch:010, data loss:0.002318
2023-12-15 22:13 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.001749
2023-12-15 22:13 - function:valid - INFO - [Valid] epoch:011, data loss:0.001626
2023-12-15 22:13 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.001497
2023-12-15 22:13 - function:valid - INFO - [Valid] epoch:012, data loss:0.001658
2023-12-15 22:13 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.001534
2023-12-15 22:13 - function:valid - INFO - [Valid] epoch:013, data loss:0.001326
2023-12-15 22:13 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.001236
2023-12-15 22:13 - function:valid - INFO - [Valid] epoch:014, data loss:0.001395
2023-12-15 22:13 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001442
2023-12-15 22:13 - function:valid - INFO - [Valid] epoch:015, data loss:0.001216
2023-12-15 22:13 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001173
2023-12-15 22:13 - function:valid - INFO - [Valid] epoch:016, data loss:0.001162
2023-12-15 22:13 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001083
2023-12-15 22:13 - function:valid - INFO - [Valid] epoch:017, data loss:0.001175
