data path:
['data/XJTU data\\R2.5_battery-1.csv', 'data/XJTU data\\R2.5_battery-2.csv', 'data/XJTU data\\R2.5_battery-3.csv', 'data/XJTU data\\R2.5_battery-5.csv', 'data/XJTU data\\R2.5_battery-6.csv', 'data/XJTU data\\R2.5_battery-7.csv']
data path:
['data/XJTU data\\R2.5_battery-4.csv', 'data/XJTU data\\R2.5_battery-8.csv']
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.397656
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:001, data loss:1.091668
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.043574
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:002, data loss:1.026057
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.023531
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:003, data loss:0.643251
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.014255
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:004, data loss:0.267160
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.007795
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:005, data loss:0.071021
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.006796
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:006, data loss:0.011274
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.004665
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:007, data loss:0.006446
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.003012
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:008, data loss:0.003296
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.003206
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:009, data loss:0.002613
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.002651
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:010, data loss:0.002967
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.002467
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:011, data loss:0.002122
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.001679
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:012, data loss:0.002400
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.001693
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:013, data loss:0.002449
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.001630
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:014, data loss:0.001573
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001583
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:015, data loss:0.001690
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001438
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:016, data loss:0.001947
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001232
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:017, data loss:0.001226
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001224
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:018, data loss:0.001723
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001440
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:019, data loss:0.000960
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.001466
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:020, data loss:0.002845
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.002274
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:021, data loss:0.002517
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.002276
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:022, data loss:0.002000
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.002339
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:023, data loss:0.001588
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.001709
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:024, data loss:0.001403
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.001546
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:025, data loss:0.001109
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:026, data loss:0.001259
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:026, data loss:0.000995
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:027, data loss:0.001299
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:027, data loss:0.000844
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:028, data loss:0.001115
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:028, data loss:0.001564
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:029, data loss:0.001438
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:029, data loss:0.001009
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:030, data loss:0.001700
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:030, data loss:0.001294
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:031, data loss:0.001598
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:031, data loss:0.001088
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:032, data loss:0.000996
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:032, data loss:0.001480
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:033, data loss:0.001026
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:033, data loss:0.001270
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:034, data loss:0.000816
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:034, data loss:0.000761
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:035, data loss:0.000550
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:035, data loss:0.000880
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:036, data loss:0.000733
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:036, data loss:0.000715
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:037, data loss:0.000785
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:037, data loss:0.000650
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:038, data loss:0.000542
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:038, data loss:0.000487
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:039, data loss:0.000491
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:039, data loss:0.000533
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:040, data loss:0.000540
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:040, data loss:0.000836
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:041, data loss:0.000539
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:041, data loss:0.000653
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:042, data loss:0.000436
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:042, data loss:0.000569
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:043, data loss:0.000416
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:043, data loss:0.000732
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:044, data loss:0.000457
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:044, data loss:0.000441
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:045, data loss:0.000371
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:045, data loss:0.000556
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:046, data loss:0.000516
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:046, data loss:0.000462
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:047, data loss:0.000399
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:047, data loss:0.000561
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:048, data loss:0.000398
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:048, data loss:0.000311
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:049, data loss:0.000390
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:049, data loss:0.000696
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:050, data loss:0.000514
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:050, data loss:0.000502
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:051, data loss:0.000514
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:051, data loss:0.000310
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:052, data loss:0.000391
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:052, data loss:0.000686
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:053, data loss:0.000666
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:053, data loss:0.000496
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:054, data loss:0.000655
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:054, data loss:0.000229
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:055, data loss:0.000366
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:055, data loss:0.000438
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:056, data loss:0.000288
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:056, data loss:0.000441
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:057, data loss:0.000191
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:057, data loss:0.000329
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:058, data loss:0.000217
