data path:
['data/XJTU data\\2C_battery-1.csv', 'data/XJTU data\\2C_battery-2.csv', 'data/XJTU data\\2C_battery-3.csv', 'data/XJTU data\\2C_battery-5.csv', 'data/XJTU data\\2C_battery-6.csv', 'data/XJTU data\\2C_battery-7.csv']
data path:
['data/XJTU data\\2C_battery-4.csv', 'data/XJTU data\\2C_battery-8.csv']
2023-12-15 22:10 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.190189
2023-12-15 22:10 - function:valid - INFO - [Valid] epoch:001, data loss:0.641725
2023-12-15 22:10 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.038111
2023-12-15 22:10 - function:valid - INFO - [Valid] epoch:002, data loss:0.526359
2023-12-15 22:10 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.019370
2023-12-15 22:10 - function:valid - INFO - [Valid] epoch:003, data loss:0.396318
2023-12-15 22:10 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.012573
2023-12-15 22:10 - function:valid - INFO - [Valid] epoch:004, data loss:0.296618
2023-12-15 22:10 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.008416
2023-12-15 22:10 - function:valid - INFO - [Valid] epoch:005, data loss:0.194512
2023-12-15 22:10 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.006484
2023-12-15 22:10 - function:valid - INFO - [Valid] epoch:006, data loss:0.109506
2023-12-15 22:10 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.004598
2023-12-15 22:10 - function:valid - INFO - [Valid] epoch:007, data loss:0.060415
2023-12-15 22:10 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.003492
2023-12-15 22:10 - function:valid - INFO - [Valid] epoch:008, data loss:0.028396
2023-12-15 22:10 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.002878
2023-12-15 22:10 - function:valid - INFO - [Valid] epoch:009, data loss:0.015976
2023-12-15 22:10 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.002001
2023-12-15 22:10 - function:valid - INFO - [Valid] epoch:010, data loss:0.006904
2023-12-15 22:10 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.002000
2023-12-15 22:10 - function:valid - INFO - [Valid] epoch:011, data loss:0.004211
2023-12-15 22:10 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.001388
2023-12-15 22:10 - function:valid - INFO - [Valid] epoch:012, data loss:0.002766
2023-12-15 22:10 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.001137
2023-12-15 22:10 - function:valid - INFO - [Valid] epoch:013, data loss:0.002205
2023-12-15 22:10 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.001101
2023-12-15 22:10 - function:valid - INFO - [Valid] epoch:014, data loss:0.001894
2023-12-15 22:10 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.000847
2023-12-15 22:10 - function:valid - INFO - [Valid] epoch:015, data loss:0.001577
2023-12-15 22:10 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001010
2023-12-15 22:10 - function:valid - INFO - [Valid] epoch:016, data loss:0.001490
2023-12-15 22:10 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.000823
2023-12-15 22:10 - function:valid - INFO - [Valid] epoch:017, data loss:0.001575
2023-12-15 22:10 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001080
2023-12-15 22:10 - function:valid - INFO - [Valid] epoch:018, data loss:0.001327
2023-12-15 22:10 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001019
2023-12-15 22:10 - function:valid - INFO - [Valid] epoch:019, data loss:0.001222
2023-12-15 22:10 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.001104
2023-12-15 22:10 - function:valid - INFO - [Valid] epoch:020, data loss:0.001329
2023-12-15 22:10 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.000888
2023-12-15 22:10 - function:valid - INFO - [Valid] epoch:021, data loss:0.001381
2023-12-15 22:10 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.000866
2023-12-15 22:10 - function:valid - INFO - [Valid] epoch:022, data loss:0.001626
2023-12-15 22:10 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.001069
2023-12-15 22:10 - function:valid - INFO - [Valid] epoch:023, data loss:0.001127
2023-12-15 22:10 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.001024
2023-12-15 22:10 - function:valid - INFO - [Valid] epoch:024, data loss:0.001334
2023-12-15 22:10 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.001050
2023-12-15 22:10 - function:valid - INFO - [Valid] epoch:025, data loss:0.000920
2023-12-15 22:10 - function:train_one_epoch - INFO - [Train] epoch:026, data loss:0.001009
2023-12-15 22:10 - function:valid - INFO - [Valid] epoch:026, data loss:0.001650
2023-12-15 22:10 - function:train_one_epoch - INFO - [Train] epoch:027, data loss:0.001093
2023-12-15 22:10 - function:valid - INFO - [Valid] epoch:027, data loss:0.001988
2023-12-15 22:10 - function:train_one_epoch - INFO - [Train] epoch:028, data loss:0.001035
2023-12-15 22:10 - function:valid - INFO - [Valid] epoch:028, data loss:0.000894
2023-12-15 22:10 - function:train_one_epoch - INFO - [Train] epoch:029, data loss:0.000608
2023-12-15 22:10 - function:valid - INFO - [Valid] epoch:029, data loss:0.000942
2023-12-15 22:10 - function:train_one_epoch - INFO - [Train] epoch:030, data loss:0.000729
2023-12-15 22:10 - function:valid - INFO - [Valid] epoch:030, data loss:0.000722
2023-12-15 22:10 - function:train_one_epoch - INFO - [Train] epoch:031, data loss:0.000415
2023-12-15 22:10 - function:valid - INFO - [Valid] epoch:031, data loss:0.000900
2023-12-15 22:10 - function:train_one_epoch - INFO - [Train] epoch:032, data loss:0.000636
2023-12-15 22:10 - function:valid - INFO - [Valid] epoch:032, data loss:0.000748
2023-12-15 22:10 - function:train_one_epoch - INFO - [Train] epoch:033, data loss:0.000381
2023-12-15 22:10 - function:valid - INFO - [Valid] epoch:033, data loss:0.001245
2023-12-15 22:10 - function:train_one_epoch - INFO - [Train] epoch:034, data loss:0.000464
