data path:
['data/XJTU data\\R3_battery-1.csv', 'data/XJTU data\\R3_battery-2.csv', 'data/XJTU data\\R3_battery-3.csv', 'data/XJTU data\\R3_battery-5.csv', 'data/XJTU data\\R3_battery-6.csv', 'data/XJTU data\\R3_battery-7.csv']
data path:
['data/XJTU data\\R3_battery-4.csv', 'data/XJTU data\\R3_battery-8.csv']
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.323104
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:001, data loss:0.043002
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.066201
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:002, data loss:0.039204
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.041625
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:003, data loss:0.015389
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.032837
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:004, data loss:0.006962
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.018282
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:005, data loss:0.005683
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.016259
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:006, data loss:0.001244
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.010430
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:007, data loss:0.003024
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.008155
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:008, data loss:0.001063
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.005382
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:009, data loss:0.001021
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.004480
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:010, data loss:0.000957
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.002813
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:011, data loss:0.001520
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.002180
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:012, data loss:0.000918
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.001615
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:013, data loss:0.000715
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.001300
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:014, data loss:0.000810
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001111
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:015, data loss:0.000656
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001032
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:016, data loss:0.000608
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.000864
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:017, data loss:0.000423
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.000853
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:018, data loss:0.000449
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.000839
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:019, data loss:0.000862
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.000776
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:020, data loss:0.001329
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.000831
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:021, data loss:0.000616
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.000661
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:022, data loss:0.000554
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.000600
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:023, data loss:0.000548
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.000598
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:024, data loss:0.000767
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.000572
