data path:
['data/XJTU data\\2C_battery-1.csv', 'data/XJTU data\\2C_battery-2.csv', 'data/XJTU data\\2C_battery-3.csv', 'data/XJTU data\\2C_battery-5.csv', 'data/XJTU data\\2C_battery-6.csv', 'data/XJTU data\\2C_battery-7.csv']
data path:
['data/XJTU data\\2C_battery-4.csv', 'data/XJTU data\\2C_battery-8.csv']
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.708957
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:001, data loss:0.338255
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.287908
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:002, data loss:0.122827
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.106421
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:003, data loss:0.073447
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.091429
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:004, data loss:0.032802
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.036730
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:005, data loss:0.007311
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.033922
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:006, data loss:0.017728
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.026705
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:007, data loss:0.014808
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.015860
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:008, data loss:0.008664
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.012878
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:009, data loss:0.006859
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.008115
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:010, data loss:0.004515
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.005289
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:011, data loss:0.002116
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.004472
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:012, data loss:0.003557
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.004208
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:013, data loss:0.003892
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.003000
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:014, data loss:0.002931
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.002753
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:015, data loss:0.005144
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.002613
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:016, data loss:0.003757
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.002352
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:017, data loss:0.004137
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.002045
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:018, data loss:0.002708
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001941
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:019, data loss:0.003673
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.001960
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:020, data loss:0.003039
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.001603
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:021, data loss:0.003379
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.001530
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:022, data loss:0.003371
