data path:
['data/XJTU data\\RW_battery-1.csv', 'data/XJTU data\\RW_battery-2.csv', 'data/XJTU data\\RW_battery-3.csv', 'data/XJTU data\\RW_battery-5.csv', 'data/XJTU data\\RW_battery-6.csv', 'data/XJTU data\\RW_battery-7.csv']
data path:
['data/XJTU data\\RW_battery-4.csv', 'data/XJTU data\\RW_battery-8.csv']
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:1.158741
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:001, data loss:1.103455
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.314546
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:002, data loss:1.082196
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.122973
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:003, data loss:0.990098
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.083738
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:004, data loss:0.839106
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.061335
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:005, data loss:0.658800
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.040666
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:006, data loss:0.493090
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.028275
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:007, data loss:0.348571
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.024721
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:008, data loss:0.236755
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.019052
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:009, data loss:0.160962
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.012520
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:010, data loss:0.104819
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.009382
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:011, data loss:0.064983
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.010287
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:012, data loss:0.040243
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.008894
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:013, data loss:0.027129
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.006589
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:014, data loss:0.021230
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.005535
