data path:
['data/XJTU data\\RW_battery-1.csv', 'data/XJTU data\\RW_battery-2.csv', 'data/XJTU data\\RW_battery-3.csv', 'data/XJTU data\\RW_battery-5.csv', 'data/XJTU data\\RW_battery-6.csv', 'data/XJTU data\\RW_battery-7.csv']
data path:
['data/XJTU data\\RW_battery-4.csv', 'data/XJTU data\\RW_battery-8.csv']
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.476353
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:001, data loss:0.232067
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.203833
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:002, data loss:0.084987
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.109029
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:003, data loss:0.083876
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.111181
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:004, data loss:0.064394
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.071111
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:005, data loss:0.011241
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.034568
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:006, data loss:0.026512
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.049701
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:007, data loss:0.020722
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.034008
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:008, data loss:0.007316
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.022717
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:009, data loss:0.027868
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.030983
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:010, data loss:0.014383
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.013420
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:011, data loss:0.002615
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.014798
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:012, data loss:0.008779
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.017655
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:013, data loss:0.001205
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.007011
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:014, data loss:0.009047
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.011106
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:015, data loss:0.012937
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.009501
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:016, data loss:0.001781
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.004806
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:017, data loss:0.001896
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.008066
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:018, data loss:0.001494
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.005421
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:019, data loss:0.001279
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.003764
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:020, data loss:0.006484
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.004903
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:021, data loss:0.003498
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.002754
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:022, data loss:0.000159
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.003511
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:023, data loss:0.000311
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.002929
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:024, data loss:0.001034
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.001863
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:025, data loss:0.004723
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:026, data loss:0.002698
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:026, data loss:0.002635
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:027, data loss:0.001666
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:027, data loss:0.000270
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:028, data loss:0.002365
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:028, data loss:0.000408
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:029, data loss:0.001762
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:029, data loss:0.002388
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:030, data loss:0.001752
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:030, data loss:0.002101
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:031, data loss:0.001389
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:031, data loss:0.000436
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:032, data loss:0.001758
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:032, data loss:0.000222
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:033, data loss:0.001411
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:033, data loss:0.000925
