data path:
['data/XJTU data\\R3_battery-1.csv', 'data/XJTU data\\R3_battery-2.csv', 'data/XJTU data\\R3_battery-3.csv', 'data/XJTU data\\R3_battery-5.csv', 'data/XJTU data\\R3_battery-6.csv', 'data/XJTU data\\R3_battery-7.csv']
data path:
['data/XJTU data\\R3_battery-4.csv', 'data/XJTU data\\R3_battery-8.csv']
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.434073
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:001, data loss:0.043219
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.066947
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:002, data loss:0.074288
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.054655
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:003, data loss:0.020017
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.034363
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:004, data loss:0.010317
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.020328
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:005, data loss:0.012077
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.012860
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:006, data loss:0.002495
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.009013
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:007, data loss:0.001466
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.005233
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:008, data loss:0.002970
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.003964
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:009, data loss:0.000851
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.002885
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:010, data loss:0.002333
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.002294
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:011, data loss:0.001323
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.001784
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:012, data loss:0.001029
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.001881
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:013, data loss:0.002430
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.001557
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:014, data loss:0.000663
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001706
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:015, data loss:0.001971
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001429
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:016, data loss:0.001774
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001214
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:017, data loss:0.000672
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001262
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:018, data loss:0.001181
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001130
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:019, data loss:0.001480
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.001025
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:020, data loss:0.001220
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.000974
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:021, data loss:0.001121
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.000985
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:022, data loss:0.001068
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.000812
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:023, data loss:0.001423
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.000777
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:024, data loss:0.001387
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.000786
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:025, data loss:0.001297
