data path:
['data/XJTU data\\R3_battery-1.csv', 'data/XJTU data\\R3_battery-2.csv', 'data/XJTU data\\R3_battery-3.csv', 'data/XJTU data\\R3_battery-5.csv', 'data/XJTU data\\R3_battery-6.csv', 'data/XJTU data\\R3_battery-7.csv']
data path:
['data/XJTU data\\R3_battery-4.csv', 'data/XJTU data\\R3_battery-8.csv']
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:1.187095
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:001, data loss:1.172161
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.089187
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:002, data loss:0.891166
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.036790
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:003, data loss:0.456125
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.022082
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:004, data loss:0.174044
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.010524
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:005, data loss:0.048180
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.008694
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:006, data loss:0.017800
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.005299
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:007, data loss:0.012543
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.004327
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:008, data loss:0.005194
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.003435
2023-12-15 22:15 - function:valid - INFO - [Valid] epoch:009, data loss:0.004130
2023-12-15 22:15 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.002731
