data path:
['data/XJTU data\\RW_battery-1.csv', 'data/XJTU data\\RW_battery-2.csv', 'data/XJTU data\\RW_battery-3.csv', 'data/XJTU data\\RW_battery-5.csv', 'data/XJTU data\\RW_battery-6.csv', 'data/XJTU data\\RW_battery-7.csv']
data path:
['data/XJTU data\\RW_battery-4.csv', 'data/XJTU data\\RW_battery-8.csv']
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.835379
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:001, data loss:0.445924
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.406669
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:002, data loss:0.184911
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.212677
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:003, data loss:0.156567
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.189445
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:004, data loss:0.144796
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.143847
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:005, data loss:0.046412
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.052194
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:006, data loss:0.027029
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.073529
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:007, data loss:0.057074
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.079488
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:008, data loss:0.022760
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.037115
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:009, data loss:0.035988
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.036012
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:010, data loss:0.039024
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.025532
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:011, data loss:0.006610
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.015642
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:012, data loss:0.008789
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.029840
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:013, data loss:0.004129
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.015082
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:014, data loss:0.009628
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.011793
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:015, data loss:0.023398
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.014501
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:016, data loss:0.010812
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.006690
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:017, data loss:0.000837
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.008963
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:018, data loss:0.001398
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.008509
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:019, data loss:0.000409
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.003692
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:020, data loss:0.006452
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.005549
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:021, data loss:0.009238
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.004869
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:022, data loss:0.003228
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.002584
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:023, data loss:0.000370
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.003841
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:024, data loss:0.000449
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.002845
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:025, data loss:0.003083
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:026, data loss:0.001883
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:026, data loss:0.006091
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:027, data loss:0.002467
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:027, data loss:0.003719
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:028, data loss:0.001730
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:028, data loss:0.001079
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:029, data loss:0.002043
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:029, data loss:0.001009
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:030, data loss:0.001606
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:030, data loss:0.003373
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:031, data loss:0.001468
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:031, data loss:0.004312
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:032, data loss:0.001312
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:032, data loss:0.002084
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:033, data loss:0.001321
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:033, data loss:0.000906
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:034, data loss:0.001562
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:034, data loss:0.001629
