data path:
['data/XJTU data\\2C_battery-1.csv', 'data/XJTU data\\2C_battery-2.csv', 'data/XJTU data\\2C_battery-3.csv', 'data/XJTU data\\2C_battery-5.csv', 'data/XJTU data\\2C_battery-6.csv', 'data/XJTU data\\2C_battery-7.csv']
data path:
['data/XJTU data\\2C_battery-4.csv', 'data/XJTU data\\2C_battery-8.csv']
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.623694
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:001, data loss:0.270739
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.211870
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:002, data loss:0.091287
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.072656
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:003, data loss:0.034443
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.071998
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:004, data loss:0.044062
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.045638
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:005, data loss:0.010065
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.031581
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:006, data loss:0.017520
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.028936
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:007, data loss:0.003386
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.013984
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:008, data loss:0.006098
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.013573
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:009, data loss:0.004009
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.009493
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:010, data loss:0.001262
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.005754
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:011, data loss:0.004396
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.004747
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:012, data loss:0.002518
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.004551
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:013, data loss:0.004034
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.003507
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:014, data loss:0.002067
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.002953
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:015, data loss:0.002722
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.002586
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:016, data loss:0.001447
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.002296
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:017, data loss:0.001648
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.002094
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:018, data loss:0.001704
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001930
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:019, data loss:0.002053
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.001859
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:020, data loss:0.002178
2023-12-15 21:40 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.001695
2023-12-15 21:40 - function:valid - INFO - [Valid] epoch:021, data loss:0.001902
