data path:
['data/XJTU data\\R2.5_battery-1.csv', 'data/XJTU data\\R2.5_battery-2.csv', 'data/XJTU data\\R2.5_battery-3.csv', 'data/XJTU data\\R2.5_battery-5.csv', 'data/XJTU data\\R2.5_battery-6.csv', 'data/XJTU data\\R2.5_battery-7.csv']
data path:
['data/XJTU data\\R2.5_battery-4.csv', 'data/XJTU data\\R2.5_battery-8.csv']
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:035, data loss:0.000720
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:036, data loss:0.000743
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:036, data loss:0.001332
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:037, data loss:0.001103
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:037, data loss:0.000827
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:038, data loss:0.001123
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:038, data loss:0.001346
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:039, data loss:0.000994
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:039, data loss:0.001480
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:040, data loss:0.001134
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:040, data loss:0.001059
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:041, data loss:0.000549
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:041, data loss:0.000701
