data path:
['data/XJTU data\\RW_battery-1.csv', 'data/XJTU data\\RW_battery-2.csv', 'data/XJTU data\\RW_battery-3.csv', 'data/XJTU data\\RW_battery-5.csv', 'data/XJTU data\\RW_battery-6.csv', 'data/XJTU data\\RW_battery-7.csv']
data path:
['data/XJTU data\\RW_battery-4.csv', 'data/XJTU data\\RW_battery-8.csv']
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.341041
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:001, data loss:0.104680
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.104343
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:002, data loss:0.048796
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.083892
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:003, data loss:0.073192
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.076432
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:004, data loss:0.020144
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.027726
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:005, data loss:0.008757
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.037103
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:006, data loss:0.033933
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.047838
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:007, data loss:0.010657
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.021730
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:008, data loss:0.009271
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.022640
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:009, data loss:0.017149
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.019452
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:010, data loss:0.003795
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.009427
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:011, data loss:0.005196
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.017271
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:012, data loss:0.006653
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.012966
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:013, data loss:0.001597
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.006904
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:014, data loss:0.010191
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.009269
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:015, data loss:0.007955
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.005906
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:016, data loss:0.000337
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.004444
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:017, data loss:0.001166
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.005872
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:018, data loss:0.000340
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.002912
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:019, data loss:0.004209
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.004229
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:020, data loss:0.003991
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.002989
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:021, data loss:0.000504
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.002761
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:022, data loss:0.000476
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.002697
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:023, data loss:0.000406
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.001570
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:024, data loss:0.002524
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.002211
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:025, data loss:0.001938
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:026, data loss:0.001449
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:026, data loss:0.000309
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:027, data loss:0.001440
