data path:
['data/XJTU data\\R2.5_battery-1.csv', 'data/XJTU data\\R2.5_battery-2.csv', 'data/XJTU data\\R2.5_battery-3.csv', 'data/XJTU data\\R2.5_battery-5.csv', 'data/XJTU data\\R2.5_battery-6.csv', 'data/XJTU data\\R2.5_battery-7.csv']
data path:
['data/XJTU data\\R2.5_battery-4.csv', 'data/XJTU data\\R2.5_battery-8.csv']
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.271688
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:001, data loss:0.574007
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.038791
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:002, data loss:0.465261
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.020447
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:003, data loss:0.298017
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.013537
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:004, data loss:0.167671
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.007204
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:005, data loss:0.084465
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.005959
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:006, data loss:0.045494
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.004408
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:007, data loss:0.027463
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.003229
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:008, data loss:0.018932
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.002605
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:009, data loss:0.009870
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.002370
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:010, data loss:0.009164
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.002248
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:011, data loss:0.005129
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.002229
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:012, data loss:0.005887
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.001901
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:013, data loss:0.004477
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.001559
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:014, data loss:0.004083
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001404
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:015, data loss:0.003155
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001208
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:016, data loss:0.003297
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001267
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:017, data loss:0.004474
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001033
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:018, data loss:0.004514
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001180
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:019, data loss:0.003686
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.001013
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:020, data loss:0.002845
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.001051
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:021, data loss:0.002007
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.000952
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:022, data loss:0.001463
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.001114
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:023, data loss:0.001001
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.000818
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:024, data loss:0.001192
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.001018
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:025, data loss:0.001666
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:026, data loss:0.001138
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:026, data loss:0.004005
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:027, data loss:0.002845
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:027, data loss:0.004544
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:028, data loss:0.002085
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:028, data loss:0.002236
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:029, data loss:0.001861
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:029, data loss:0.001490
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:030, data loss:0.001027
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:030, data loss:0.002081
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:031, data loss:0.001539
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:031, data loss:0.001422
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:032, data loss:0.000815
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:032, data loss:0.000879
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:033, data loss:0.000661
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:033, data loss:0.000808
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:034, data loss:0.000651
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:034, data loss:0.001042
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:035, data loss:0.000831
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:035, data loss:0.001832
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:036, data loss:0.001283
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:036, data loss:0.002041
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:037, data loss:0.001776
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:037, data loss:0.001048
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:038, data loss:0.000558
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:038, data loss:0.001019
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:039, data loss:0.000402
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:039, data loss:0.001120
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:040, data loss:0.000572
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:040, data loss:0.000526
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:041, data loss:0.000395
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:041, data loss:0.000618
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:042, data loss:0.000507
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:042, data loss:0.000768
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:043, data loss:0.000568
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:043, data loss:0.000624
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:044, data loss:0.000451
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:044, data loss:0.000370
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:045, data loss:0.000412
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:045, data loss:0.000312
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:046, data loss:0.000283
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:046, data loss:0.000378
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:047, data loss:0.000560
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:047, data loss:0.000758
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:048, data loss:0.000580
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:048, data loss:0.001297
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:049, data loss:0.001191
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:049, data loss:0.000883
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:050, data loss:0.000566
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:050, data loss:0.000488
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:051, data loss:0.000435
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:051, data loss:0.000671
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:052, data loss:0.000550
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:052, data loss:0.000365
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:053, data loss:0.000312
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:053, data loss:0.000314
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:054, data loss:0.000250
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:054, data loss:0.000256
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:055, data loss:0.000252
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:055, data loss:0.000282
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:056, data loss:0.000389
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:056, data loss:0.000437
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:057, data loss:0.000424
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:057, data loss:0.000300
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:058, data loss:0.000303
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:058, data loss:0.000443
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:059, data loss:0.000422
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:059, data loss:0.000350
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:060, data loss:0.000335
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:060, data loss:0.000396
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:061, data loss:0.000384
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:061, data loss:0.000222
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:062, data loss:0.000320
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:062, data loss:0.000260
2023-12-15 22:12 - function:train_one_epoch - INFO - [Train] epoch:063, data loss:0.000341
2023-12-15 22:12 - function:valid - INFO - [Valid] epoch:063, data loss:0.000752
