data path:
['data/XJTU data\\R2.5_battery-1.csv', 'data/XJTU data\\R2.5_battery-2.csv', 'data/XJTU data\\R2.5_battery-3.csv', 'data/XJTU data\\R2.5_battery-5.csv', 'data/XJTU data\\R2.5_battery-6.csv', 'data/XJTU data\\R2.5_battery-7.csv']
data path:
['data/XJTU data\\R2.5_battery-4.csv', 'data/XJTU data\\R2.5_battery-8.csv']
2023-12-15 21:41 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.642601
2023-12-15 21:41 - function:valid - INFO - [Valid] epoch:001, data loss:0.186712
2023-12-15 21:41 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.110355
2023-12-15 21:41 - function:valid - INFO - [Valid] epoch:002, data loss:0.082198
2023-12-15 21:41 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.092559
2023-12-15 21:41 - function:valid - INFO - [Valid] epoch:003, data loss:0.017553
2023-12-15 21:41 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.033051
2023-12-15 21:41 - function:valid - INFO - [Valid] epoch:004, data loss:0.027926
2023-12-15 21:41 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.038289
2023-12-15 21:41 - function:valid - INFO - [Valid] epoch:005, data loss:0.005282
2023-12-15 21:41 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.020115
2023-12-15 21:41 - function:valid - INFO - [Valid] epoch:006, data loss:0.009563
2023-12-15 21:41 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.017208
2023-12-15 21:41 - function:valid - INFO - [Valid] epoch:007, data loss:0.001098
2023-12-15 21:41 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.012021
2023-12-15 21:41 - function:valid - INFO - [Valid] epoch:008, data loss:0.003931
2023-12-15 21:41 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.009519
2023-12-15 21:41 - function:valid - INFO - [Valid] epoch:009, data loss:0.002989
2023-12-15 21:41 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.006925
2023-12-15 21:41 - function:valid - INFO - [Valid] epoch:010, data loss:0.001715
2023-12-15 21:41 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.005134
2023-12-15 21:41 - function:valid - INFO - [Valid] epoch:011, data loss:0.003505
2023-12-15 21:41 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.004164
2023-12-15 21:41 - function:valid - INFO - [Valid] epoch:012, data loss:0.000938
2023-12-15 21:41 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.002793
2023-12-15 21:41 - function:valid - INFO - [Valid] epoch:013, data loss:0.002073
2023-12-15 21:41 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.002843
2023-12-15 21:41 - function:valid - INFO - [Valid] epoch:014, data loss:0.002792
2023-12-15 21:41 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.002044
2023-12-15 21:41 - function:valid - INFO - [Valid] epoch:015, data loss:0.000928
2023-12-15 21:41 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001909
2023-12-15 21:41 - function:valid - INFO - [Valid] epoch:016, data loss:0.003014
2023-12-15 21:41 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001844
2023-12-15 21:41 - function:valid - INFO - [Valid] epoch:017, data loss:0.003073
2023-12-15 21:41 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001763
2023-12-15 21:41 - function:valid - INFO - [Valid] epoch:018, data loss:0.001257
2023-12-15 21:41 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001483
2023-12-15 21:41 - function:valid - INFO - [Valid] epoch:019, data loss:0.001343
2023-12-15 21:41 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.001363
2023-12-15 21:41 - function:valid - INFO - [Valid] epoch:020, data loss:0.002684
2023-12-15 21:41 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.001406
2023-12-15 21:41 - function:valid - INFO - [Valid] epoch:021, data loss:0.002324
2023-12-15 21:41 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.001190
2023-12-15 21:41 - function:valid - INFO - [Valid] epoch:022, data loss:0.001665
2023-12-15 21:41 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.001318
2023-12-15 21:41 - function:valid - INFO - [Valid] epoch:023, data loss:0.001539
2023-12-15 21:41 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.001088
2023-12-15 21:41 - function:valid - INFO - [Valid] epoch:024, data loss:0.001879
2023-12-15 21:41 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.001080
2023-12-15 21:41 - function:valid - INFO - [Valid] epoch:025, data loss:0.001555
2023-12-15 21:41 - function:train_one_epoch - INFO - [Train] epoch:026, data loss:0.001152
2023-12-15 21:41 - function:valid - INFO - [Valid] epoch:026, data loss:0.001113
