data path:
['data/XJTU data\\2C_battery-1.csv', 'data/XJTU data\\2C_battery-2.csv', 'data/XJTU data\\2C_battery-3.csv', 'data/XJTU data\\2C_battery-5.csv', 'data/XJTU data\\2C_battery-6.csv', 'data/XJTU data\\2C_battery-7.csv']
data path:
['data/XJTU data\\2C_battery-4.csv', 'data/XJTU data\\2C_battery-8.csv']
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.456522
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:001, data loss:0.942288
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.053604
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:002, data loss:0.970036
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.031623
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:003, data loss:0.918470
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.016074
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:004, data loss:0.720767
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.010412
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:005, data loss:0.484603
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.008195
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:006, data loss:0.259324
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.004383
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:007, data loss:0.122611
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.003738
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:008, data loss:0.065175
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.002816
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:009, data loss:0.024866
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.002300
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:010, data loss:0.010364
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.001871
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:011, data loss:0.007413
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.001573
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:012, data loss:0.002508
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.001499
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:013, data loss:0.002604
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.001158
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:014, data loss:0.002001
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001059
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:015, data loss:0.001678
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.000831
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:016, data loss:0.001494
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.000926
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:017, data loss:0.001659
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001109
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:018, data loss:0.001659
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.000789
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:019, data loss:0.001034
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.000638
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:020, data loss:0.001442
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.000572
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:021, data loss:0.000899
