data path:
['data/XJTU data\\2C_battery-1.csv', 'data/XJTU data\\2C_battery-2.csv', 'data/XJTU data\\2C_battery-3.csv', 'data/XJTU data\\2C_battery-5.csv', 'data/XJTU data\\2C_battery-6.csv', 'data/XJTU data\\2C_battery-7.csv']
data path:
['data/XJTU data\\2C_battery-4.csv', 'data/XJTU data\\2C_battery-8.csv']
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.237450
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:001, data loss:0.992573
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.039894
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:002, data loss:0.901679
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.015983
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:003, data loss:0.795685
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.011762
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:004, data loss:0.583995
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.006994
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:005, data loss:0.405419
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.007214
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:006, data loss:0.265913
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.004039
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:007, data loss:0.174892
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.003875
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:008, data loss:0.086463
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.003521
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:009, data loss:0.059641
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.002866
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:010, data loss:0.036814
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.002031
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:011, data loss:0.023994
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.001931
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:012, data loss:0.016945
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.001383
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:013, data loss:0.012081
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.001267
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:014, data loss:0.009457
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001158
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:015, data loss:0.008817
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001096
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:016, data loss:0.006205
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001040
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:017, data loss:0.006138
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001040
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:018, data loss:0.002941
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.000939
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:019, data loss:0.003851
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.000727
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:020, data loss:0.001760
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.000640
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:021, data loss:0.000863
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.000777
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:022, data loss:0.002834
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.001090
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:023, data loss:0.000887
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.000718
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:024, data loss:0.000660
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.000507
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:025, data loss:0.000703
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:026, data loss:0.000728
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:026, data loss:0.001109
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:027, data loss:0.000641
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:027, data loss:0.000901
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:028, data loss:0.000754
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:028, data loss:0.000708
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:029, data loss:0.000530
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:029, data loss:0.001227
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:030, data loss:0.001002
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:030, data loss:0.000545
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:031, data loss:0.001359
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:031, data loss:0.001746
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:032, data loss:0.000907
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:032, data loss:0.001758
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:033, data loss:0.001463
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:033, data loss:0.001703
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:034, data loss:0.001700
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:034, data loss:0.000457
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:035, data loss:0.001262
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:035, data loss:0.001981
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:036, data loss:0.001089
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:036, data loss:0.002486
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:037, data loss:0.002435
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:037, data loss:0.000454
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:038, data loss:0.000724
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:038, data loss:0.000717
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:039, data loss:0.000887
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:039, data loss:0.000961
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:040, data loss:0.000895
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:040, data loss:0.000985
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:041, data loss:0.000667
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:041, data loss:0.001388
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:042, data loss:0.001434
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:042, data loss:0.000581
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:043, data loss:0.001024
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:043, data loss:0.000455
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:044, data loss:0.000946
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:044, data loss:0.000837
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:045, data loss:0.000442
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:045, data loss:0.001249
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:046, data loss:0.000490
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:046, data loss:0.002164
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:047, data loss:0.000763
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:047, data loss:0.000870
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:048, data loss:0.000611
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:048, data loss:0.000882
