data path:
['data/XJTU data\\2C_battery-1.csv', 'data/XJTU data\\2C_battery-2.csv', 'data/XJTU data\\2C_battery-3.csv', 'data/XJTU data\\2C_battery-5.csv', 'data/XJTU data\\2C_battery-6.csv', 'data/XJTU data\\2C_battery-7.csv']
data path:
['data/XJTU data\\2C_battery-4.csv', 'data/XJTU data\\2C_battery-8.csv']
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.675327
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:001, data loss:0.784964
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.061189
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:002, data loss:0.695301
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.025949
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:003, data loss:0.606793
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.017128
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:004, data loss:0.434521
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.013208
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:005, data loss:0.276892
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.009848
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:006, data loss:0.168704
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.008392
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:007, data loss:0.082829
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.004804
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:008, data loss:0.040071
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.003630
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:009, data loss:0.017889
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.003217
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:010, data loss:0.008062
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.002583
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:011, data loss:0.005849
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.001910
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:012, data loss:0.003689
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.001542
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:013, data loss:0.004850
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.001740
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:014, data loss:0.002064
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001379
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:015, data loss:0.001941
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001071
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:016, data loss:0.001433
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001078
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:017, data loss:0.001339
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.000785
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:018, data loss:0.001188
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.000786
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:019, data loss:0.000975
2023-12-15 22:09 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.000739
2023-12-15 22:09 - function:valid - INFO - [Valid] epoch:020, data loss:0.001290
