data path:
['data/XJTU data\\RW_battery-1.csv', 'data/XJTU data\\RW_battery-2.csv', 'data/XJTU data\\RW_battery-3.csv', 'data/XJTU data\\RW_battery-5.csv', 'data/XJTU data\\RW_battery-6.csv', 'data/XJTU data\\RW_battery-7.csv']
data path:
['data/XJTU data\\RW_battery-4.csv', 'data/XJTU data\\RW_battery-8.csv']
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:036, data loss:0.000560
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:036, data loss:0.002549
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:037, data loss:0.000576
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:037, data loss:0.002228
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:038, data loss:0.000632
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:038, data loss:0.002612
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:039, data loss:0.000679
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:039, data loss:0.002119
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:040, data loss:0.000847
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:040, data loss:0.002914
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:041, data loss:0.000745
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:041, data loss:0.001998
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:042, data loss:0.000475
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:042, data loss:0.002332
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:043, data loss:0.000391
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:043, data loss:0.001989
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:044, data loss:0.000204
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:044, data loss:0.001949
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:045, data loss:0.000306
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:045, data loss:0.001927
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:046, data loss:0.000256
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:046, data loss:0.001900
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:047, data loss:0.000273
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:047, data loss:0.002015
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:048, data loss:0.000191
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:048, data loss:0.001876
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:049, data loss:0.000312
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:049, data loss:0.001962
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:050, data loss:0.000322
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:050, data loss:0.002141
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:051, data loss:0.000279
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:051, data loss:0.001869
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:052, data loss:0.000230
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:052, data loss:0.002161
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:053, data loss:0.000232
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:053, data loss:0.001879
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:054, data loss:0.000177
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:054, data loss:0.001994
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:055, data loss:0.000199
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:055, data loss:0.001901
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:056, data loss:0.000160
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:056, data loss:0.002040
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:057, data loss:0.000181
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:057, data loss:0.001887
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:058, data loss:0.000357
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:058, data loss:0.001976
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:059, data loss:0.000422
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:059, data loss:0.002613
