data path:
['data/XJTU data\\R3_battery-1.csv', 'data/XJTU data\\R3_battery-2.csv', 'data/XJTU data\\R3_battery-3.csv', 'data/XJTU data\\R3_battery-5.csv', 'data/XJTU data\\R3_battery-6.csv', 'data/XJTU data\\R3_battery-7.csv']
data path:
['data/XJTU data\\R3_battery-4.csv', 'data/XJTU data\\R3_battery-8.csv']
2023-12-15 22:13 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.736472
2023-12-15 22:13 - function:valid - INFO - [Valid] epoch:001, data loss:0.813057
2023-12-15 22:13 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.052212
2023-12-15 22:13 - function:valid - INFO - [Valid] epoch:002, data loss:0.605888
2023-12-15 22:13 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.019786
2023-12-15 22:13 - function:valid - INFO - [Valid] epoch:003, data loss:0.334353
2023-12-15 22:13 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.014990
2023-12-15 22:13 - function:valid - INFO - [Valid] epoch:004, data loss:0.141262
2023-12-15 22:13 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.007968
2023-12-15 22:13 - function:valid - INFO - [Valid] epoch:005, data loss:0.047861
2023-12-15 22:13 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.005547
2023-12-15 22:13 - function:valid - INFO - [Valid] epoch:006, data loss:0.019684
2023-12-15 22:13 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.003968
2023-12-15 22:13 - function:valid - INFO - [Valid] epoch:007, data loss:0.006353
2023-12-15 22:13 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.003253
2023-12-15 22:13 - function:valid - INFO - [Valid] epoch:008, data loss:0.005625
2023-12-15 22:13 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.002206
2023-12-15 22:13 - function:valid - INFO - [Valid] epoch:009, data loss:0.004985
2023-12-15 22:13 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.001733
2023-12-15 22:13 - function:valid - INFO - [Valid] epoch:010, data loss:0.002669
2023-12-15 22:13 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.001541
2023-12-15 22:13 - function:valid - INFO - [Valid] epoch:011, data loss:0.002844
2023-12-15 22:13 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.001333
2023-12-15 22:13 - function:valid - INFO - [Valid] epoch:012, data loss:0.002537
2023-12-15 22:13 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.001247
2023-12-15 22:13 - function:valid - INFO - [Valid] epoch:013, data loss:0.001424
2023-12-15 22:13 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.001233
2023-12-15 22:13 - function:valid - INFO - [Valid] epoch:014, data loss:0.001106
2023-12-15 22:13 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001133
2023-12-15 22:13 - function:valid - INFO - [Valid] epoch:015, data loss:0.001103
2023-12-15 22:13 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001188
2023-12-15 22:13 - function:valid - INFO - [Valid] epoch:016, data loss:0.001075
2023-12-15 22:13 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001023
2023-12-15 22:13 - function:valid - INFO - [Valid] epoch:017, data loss:0.001359
2023-12-15 22:13 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.000925
2023-12-15 22:13 - function:valid - INFO - [Valid] epoch:018, data loss:0.001182
2023-12-15 22:13 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.000835
2023-12-15 22:13 - function:valid - INFO - [Valid] epoch:019, data loss:0.000771
2023-12-15 22:13 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.000760
2023-12-15 22:13 - function:valid - INFO - [Valid] epoch:020, data loss:0.000915
2023-12-15 22:13 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.000788
2023-12-15 22:13 - function:valid - INFO - [Valid] epoch:021, data loss:0.000788
2023-12-15 22:13 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.000857
2023-12-15 22:13 - function:valid - INFO - [Valid] epoch:022, data loss:0.001344
2023-12-15 22:13 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.000938
2023-12-15 22:13 - function:valid - INFO - [Valid] epoch:023, data loss:0.001587
2023-12-15 22:13 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.000965
2023-12-15 22:13 - function:valid - INFO - [Valid] epoch:024, data loss:0.001550
2023-12-15 22:13 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.000866
2023-12-15 22:13 - function:valid - INFO - [Valid] epoch:025, data loss:0.001266
2023-12-15 22:13 - function:train_one_epoch - INFO - [Train] epoch:026, data loss:0.000932
2023-12-15 22:13 - function:valid - INFO - [Valid] epoch:026, data loss:0.002033
2023-12-15 22:13 - function:train_one_epoch - INFO - [Train] epoch:027, data loss:0.001365
2023-12-15 22:13 - function:valid - INFO - [Valid] epoch:027, data loss:0.000750
2023-12-15 22:13 - function:train_one_epoch - INFO - [Train] epoch:028, data loss:0.000788
2023-12-15 22:13 - function:valid - INFO - [Valid] epoch:028, data loss:0.000827
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:029, data loss:0.000779
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:029, data loss:0.000591
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:030, data loss:0.001102
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:030, data loss:0.000617
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:031, data loss:0.000622
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:031, data loss:0.000895
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:032, data loss:0.000650
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:032, data loss:0.001520
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:033, data loss:0.000820
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:033, data loss:0.000616
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:034, data loss:0.000489
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:034, data loss:0.000460
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:035, data loss:0.000434
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:035, data loss:0.000462
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:036, data loss:0.000455
