data path:
['data/XJTU data\\R3_battery-1.csv', 'data/XJTU data\\R3_battery-2.csv', 'data/XJTU data\\R3_battery-3.csv', 'data/XJTU data\\R3_battery-5.csv', 'data/XJTU data\\R3_battery-6.csv', 'data/XJTU data\\R3_battery-7.csv']
data path:
['data/XJTU data\\R3_battery-4.csv', 'data/XJTU data\\R3_battery-8.csv']
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.578003
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:001, data loss:0.150582
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.084361
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:002, data loss:0.046995
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.068543
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:003, data loss:0.023726
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.034763
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:004, data loss:0.015981
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.027574
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:005, data loss:0.011422
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.016538
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:006, data loss:0.003009
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.009796
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:007, data loss:0.002064
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.007463
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:008, data loss:0.001893
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.005816
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:009, data loss:0.001095
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.003713
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:010, data loss:0.001115
2023-12-16 10:06 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.003067
2023-12-16 10:06 - function:valid - INFO - [Valid] epoch:011, data loss:0.001479
