data path:
['data/XJTU data\\R3_battery-1.csv', 'data/XJTU data\\R3_battery-2.csv', 'data/XJTU data\\R3_battery-3.csv', 'data/XJTU data\\R3_battery-5.csv', 'data/XJTU data\\R3_battery-6.csv', 'data/XJTU data\\R3_battery-7.csv']
data path:
['data/XJTU data\\R3_battery-4.csv', 'data/XJTU data\\R3_battery-8.csv']
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.318797
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:001, data loss:1.124503
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.034254
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:002, data loss:0.942984
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.017333
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:003, data loss:0.584346
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.007384
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:004, data loss:0.197652
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.005291
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:005, data loss:0.046843
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.003366
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:006, data loss:0.012053
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.002523
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:007, data loss:0.004366
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.002049
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:008, data loss:0.002423
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.001712
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:009, data loss:0.001785
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.001464
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:010, data loss:0.001347
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.001159
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:011, data loss:0.001582
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.001219
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:012, data loss:0.001130
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.001262
