data path:
['data/XJTU data\\R3_battery-1.csv', 'data/XJTU data\\R3_battery-2.csv', 'data/XJTU data\\R3_battery-3.csv', 'data/XJTU data\\R3_battery-5.csv', 'data/XJTU data\\R3_battery-6.csv', 'data/XJTU data\\R3_battery-7.csv']
data path:
['data/XJTU data\\R3_battery-4.csv', 'data/XJTU data\\R3_battery-8.csv']
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.621945
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:001, data loss:0.714351
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.059794
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:002, data loss:0.538644
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.023122
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:003, data loss:0.321596
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.015193
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:004, data loss:0.130598
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.009614
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:005, data loss:0.041792
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.005922
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:006, data loss:0.023394
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.003902
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:007, data loss:0.006719
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.003366
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:008, data loss:0.004133
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.002353
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:009, data loss:0.003360
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.002188
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:010, data loss:0.002103
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.001702
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:011, data loss:0.002019
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.001792
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:012, data loss:0.001656
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.001326
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:013, data loss:0.001514
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.001258
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:014, data loss:0.001373
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001111
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:015, data loss:0.001237
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001175
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:016, data loss:0.001149
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001032
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:017, data loss:0.001288
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.000774
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:018, data loss:0.001025
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.000822
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:019, data loss:0.001159
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.000939
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:020, data loss:0.000887
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.000798
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:021, data loss:0.001076
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.000682
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:022, data loss:0.000976
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.000774
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:023, data loss:0.001052
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.000921
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:024, data loss:0.000867
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.000921
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:025, data loss:0.002036
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:026, data loss:0.001452
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:026, data loss:0.001382
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:027, data loss:0.001023
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:027, data loss:0.001064
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:028, data loss:0.001295
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:028, data loss:0.000746
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:029, data loss:0.000806
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:029, data loss:0.000761
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:030, data loss:0.000840
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:030, data loss:0.000668
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:031, data loss:0.000870
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:031, data loss:0.000626
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:032, data loss:0.000603
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:032, data loss:0.000754
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:033, data loss:0.000527
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:033, data loss:0.000536
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:034, data loss:0.000441
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:034, data loss:0.000635
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:035, data loss:0.000515
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:035, data loss:0.000566
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:036, data loss:0.000646
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:036, data loss:0.000794
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:037, data loss:0.000695
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:037, data loss:0.000615
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:038, data loss:0.000535
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:038, data loss:0.000773
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:039, data loss:0.000713
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:039, data loss:0.000529
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:040, data loss:0.000655
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:040, data loss:0.000478
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:041, data loss:0.000485
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:041, data loss:0.000561
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:042, data loss:0.000384
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:042, data loss:0.000833
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:043, data loss:0.000499
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:043, data loss:0.000494
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:044, data loss:0.000506
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:044, data loss:0.000481
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:045, data loss:0.000697
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:045, data loss:0.000860
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:046, data loss:0.001028
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:046, data loss:0.000867
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:047, data loss:0.000662
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:047, data loss:0.000440
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:048, data loss:0.000464
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:048, data loss:0.000552
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:049, data loss:0.000455
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:049, data loss:0.000365
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:050, data loss:0.000275
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:050, data loss:0.000397
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:051, data loss:0.000244
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:051, data loss:0.000334
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:052, data loss:0.000213
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:052, data loss:0.000350
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:053, data loss:0.000343
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:053, data loss:0.000523
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:054, data loss:0.000432
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:054, data loss:0.000313
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:055, data loss:0.000279
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:055, data loss:0.000531
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:056, data loss:0.000274
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:056, data loss:0.000385
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:057, data loss:0.000323
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:057, data loss:0.000918
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:058, data loss:0.000489
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:058, data loss:0.000853
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:059, data loss:0.000447
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:059, data loss:0.000392
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:060, data loss:0.000537
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:060, data loss:0.000367
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:061, data loss:0.000546
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:061, data loss:0.000429
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:062, data loss:0.000340
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:062, data loss:0.000399
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:063, data loss:0.000238
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:063, data loss:0.000367
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:064, data loss:0.000255
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:064, data loss:0.000466
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:065, data loss:0.000292
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:065, data loss:0.000305
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:066, data loss:0.000221
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:066, data loss:0.000289
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:067, data loss:0.000310
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:067, data loss:0.000355
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:068, data loss:0.000257
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:068, data loss:0.000263
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:069, data loss:0.000282
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:069, data loss:0.000399
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:070, data loss:0.000246
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:070, data loss:0.000390
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:071, data loss:0.000332
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:071, data loss:0.000252
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:072, data loss:0.000282
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:072, data loss:0.000359
2023-12-15 22:14 - function:train_one_epoch - INFO - [Train] epoch:073, data loss:0.000412
2023-12-15 22:14 - function:valid - INFO - [Valid] epoch:073, data loss:0.000302
