data path:
['data/XJTU data\\RW_battery-1.csv', 'data/XJTU data\\RW_battery-2.csv', 'data/XJTU data\\RW_battery-3.csv', 'data/XJTU data\\RW_battery-5.csv', 'data/XJTU data\\RW_battery-6.csv', 'data/XJTU data\\RW_battery-7.csv']
data path:
['data/XJTU data\\RW_battery-4.csv', 'data/XJTU data\\RW_battery-8.csv']
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.707047
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:001, data loss:0.705878
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.148483
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:002, data loss:0.649162
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.084582
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:003, data loss:0.599920
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.046871
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:004, data loss:0.546105
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.029431
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:005, data loss:0.485341
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.021869
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:006, data loss:0.419962
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.018059
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:007, data loss:0.350188
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.013487
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:008, data loss:0.283844
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.013793
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:009, data loss:0.227351
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.011171
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:010, data loss:0.178128
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.007262
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:011, data loss:0.134961
2023-12-15 22:16 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.006554
2023-12-15 22:16 - function:valid - INFO - [Valid] epoch:012, data loss:0.100766
